ObjectID,Volume_um3,SurfaceArea_um2,EquivalentDiameter_um,Sphericity,MajorAxisLength_um,IntermediateAxisLength_um,MinorAxisLength_um,Elongation,Flatness,BoundingBoxX_um,BoundingBoxY_um,BoundingBoxZ_um,CentroidX_um,CentroidY_um,CentroidZ_um,SomaVolume_um3,SomaCellVolumeRatio,NumberOfSomas,PossibleMerged
39,360.308505257545,680.09761292625,8.82860250717748,0.360049780050142,27.8586862151455,17.6576566209873,5.80922295811824,1.57771140379032,3.03959010495736,9.68643461449761,16.8359458775792,26,29.5482762939456,36.4631407022353,42.0059049306171,0,0,0,0
40,663.8101779767,896.1289963244,10.8230191838006,0.410654133849524,28.7776073167331,16.9266971886081,7.85979950700324,1.70013127759506,2.15357874886326,13.6071343394133,19.1422398334119,22,72.6617129901412,202.770695151022,40.1089743589744,0,0,0,0
41,208.398099143647,335.664411464165,7.35583045056352,0.506416672600249,18.183327201826,6.28164329929709,6.26103179958353,2.8946768123336,1.00329202923309,7.38014065866484,8.7639170321645,18,17.7888373159922,59.3261450583474,36.8453292496172,0,0,0,0
42,229.993205895132,407.383875218463,7.60160784973955,0.445612085336749,23.5016148094932,9.31689260786397,5.5898413270922,2.52247351114217,1.666754396535,8.53328763658123,8.7639170321645,24,81.3479588350959,185.173963160072,41.7604070305273,0,0,0,0
43,206.270502419362,353.46081003177,7.3307121725032,0.477640275710407,20.9606520946331,8.92541440891374,3.21293485080729,2.34842340471047,2.77796308464553,9.22517582333106,10.839581592414,20,135.558939352786,72.471867966829,40.7148014440433,0,0,0,0
44,560.940876357555,975.146397869096,10.2322895723607,0.337307265672294,28.2327052132117,16.6547602095377,11.3129748150862,1.69517332330271,1.47218220510206,17.7584634599123,11.5314697791638,30,15.2172100667434,20.686883818699,48.5886592072824,0,0,0,0
45,255.205227077901,476.509100670037,7.8697991329641,0.408324997931507,22.8761383438186,11.1087799398327,5.87468712933623,2.05928449998292,1.89095686208703,17.0665752731625,7.61077005424812,20,71.1273938154317,160.770415375734,41.8107544810338,0,0,0,0
46,591.897408695891,839.529389915421,10.4171584997374,0.406080852897409,27.584507651427,12.6877453700791,10.5938157628153,2.17410634016018,1.19765584508403,11.5314697791638,12.9152461526635,28,147.237470345714,189.992570692019,47.8673616103523,0,0,0,0
47,526.792948932792,746.829223105695,10.0202935284234,0.422366492083761,26.8484810518153,18.8684970355309,7.31762320108854,1.42292632005917,2.57850076685065,15.2215401084962,13.1458755482468,28,190.307254907656,192.488872996773,49.1627625201939,0,0,0,0
48,254.247808551973,448.169088756344,7.85994545095672,0.433058969103619,27.1009675485432,8.10735743251077,5.67794791294812,3.34276214835027,1.4278675248187,13.6071343394133,9.45580521891433,26,105.232719289067,69.7576723515367,48.7807531380753,0,0,0,0
49,227.333709989777,499.042817579421,7.5721941217077,0.360957060613122,18.8322875608684,9.73336120812949,5.64609315525916,1.93481852344485,1.72391084250234,10.1476934056642,16.3746870864126,12,135.929641758007,189.277124059246,40.110435189518,0,0,0,0
50,364.244559197471,768.192255009963,8.8606343912998,0.321077285365227,25.1833397761585,22.3154677312245,8.07674381655463,1.12851498698014,2.76292875421965,20.5260162069116,14.2990225261631,26,134.109242257059,174.916365651507,52.2739485981308,0,0,0,0
51,339.245297687131,819.11480886811,8.65310030678116,0.287176283789065,25.4470677554883,12.4323109773637,12.4154404626093,2.04684935904687,1.00135883336602,13.6071343394133,13.8377637349966,26,211.3888001594,57.0089252016204,49.024772656005,0,0,0,0
52,1198.36885495313,1618.61798236123,13.1784387884567,0.337080352271595,36.8372157977008,21.6369579823895,17.3133747946183,1.70251362634632,1.24972503853582,21.2179043936614,35.055668128658,24,22.3988333591328,150.333043471282,52.5075898801598,0,0,0,0
53,261.375257578326,379.847013939627,7.93271680658445,0.520457243244595,15.5642409034953,9.64448493964986,6.6419485851987,1.61379700428671,1.45205654875772,7.38014065866484,9.68643461449761,18,49.9462358119094,8.95793858717899,45.8323158323158,0,0,0,0
